rank,candidate_id,theme,research_question,ssdse,external_data,unit,main_design,social_value,data_feasibility,originality,design_strength,policy_value,workload_feasibility,total,status,past_award_overlap
11,T11,地域文化インフラと若者定着,"図書館・劇場・博物館などの文化機会は若年層の流出入と関連するか",B・E,社会教育調査・住民基本台帳人口移動報告,都道府県×年,パネル固定効果・施設整備前後・類似地域比較,4,4,5,4,4,3,24,候補,芸術と学習は既出だが若者定着は未確認
12,T12,高齢単身世帯と在宅医療供給,"高齢単身世帯の増加に対して診療所・訪問診療・介護供給は追いついているか",A・E,NDBオープンデータ・介護サービス施設事業所調査,市区町村または二次医療圏,需要供給比・空間回帰・不足地域類型化,5,3,4,4,5,3,24,候補,医療偏在は既出
13,T13,気候と地域食生活,"気候条件は地域の食品購入構成をどの程度説明し健康的食生活の地域差に結び付くか",C・F,家計調査・国民健康栄養調査,県庁所在市×食品群,組成データ分析・主成分・気候交互作用,3,5,4,4,3,4,23,候補,味覚地域差は2022年に類似
14,T14,産業多様性と人口減少耐性,"産業構成が多様な自治体ほど人口流出・雇用縮小に強いか",A,経済センサス・国勢調査時系列,市区町村×年,産業多様性指数・パネル固定効果・ショック異質性,5,4,3,4,5,3,24,候補,人口増減要因研究と近い
15,T15,外国人住民と行政サービス対応力,"外国人比率の上昇に対して行政DX・教育・医療・情報提供体制は適応しているか",A,自治体DXデータ・自治体標準オープンデータ・文化庁調査,市区町村,需要供給ミスマッチ指数・クラスタリング,5,3,5,3,5,3,24,候補,外国人人口特性は2019年に既出
16,T16,地域の運動機会と健康格差,"スポーツ施設と運動参加の地域差は健康寿命・医療費とどう結び付くか",D・E,健康寿命・国保医療費・社会体育調査,都道府県×男女,媒介分析・年齢構成調整・感度分析,4,4,3,3,4,4,22,候補,運動能力研究は既出
17,T17,ボランティア参加と地域防災,"平時のボランティア・社会参加が高い地域ほど防災担い手や災害対応力が高いか",D,消防団統計・自主防災組織活動状況,都道府県×男女,構成調整回帰・潜在社会関係資本指数,5,4,5,3,5,2,24,候補,直接重複なし
18,T18,図書館と生涯学習機会,"図書館・公民館への供給差は成人の学習・自己啓発参加格差と関連するか",D・E,社会教育調査,都道府県×男女,需要供給比・男女差・階層回帰,4,5,4,3,4,4,24,候補,教育ICT等とは差別化可能
19,T19,歯科医療アクセスと高齢化,"歯科医師・診療所供給は高齢化と地域の口腔医療需要に整合しているか",A・E,NDBオープンデータ・歯科疾患実態調査,市区町村または都道府県,需要供給比・空間回帰・類型化,4,3,4,3,4,4,22,候補,医師偏在と近い
20,T20,通勤時間・睡眠・都市構造,"長時間通勤と都市構造は睡眠時間の男女差をどの程度説明するか",D・E,社会生活基本調査詳細表・国土数値情報鉄道,都道府県×男女,構成調整・交互作用・都市類型比較,4,5,3,3,4,4,23,候補,睡眠時間研究が2023年に存在
21,T21,保育士配置効率と若年女性移動,"保育定員だけでなく保育士配置の質は若年女性の転入出や出生に関連するか",B,人口移動報告・賃金構造基本統計,都道府県×年,固定効果・配置効率指標・分布ラグ,5,5,2,4,5,4,25,重複注意,出生率・保育研究が多数
22,T22,空き家の質的ミスマッチ,"空き家率ではなく利用可能性の低い空き家構成が地域再生を阻害しているか",E,2023住宅土地統計・空き家対策実施状況,都道府県または市区町村,空き家類型・人口移動とのパネル/反復横断分析,5,4,3,4,5,3,24,重複注意,2022年空き家要因分析あり
23,T23,医療・福祉雇用の地域定着効果,"医療福祉産業の雇用基盤は人口減少地域の女性就業と定住を支えるか",A・E,経済センサス・国勢調査就業状態,市区町村×年,シフトシェア・パネル固定効果・地域類型,5,4,4,4,5,3,25,候補,女性進出・人口研究と一部重複
24,T24,自治体財政硬直化と生活サービス維持,"人口減少下で財政硬直化が教育・民生・インフラ支出の維持に与える影響は何か",A,地方財政状況調査・Japan Dashboard,市区町村×年,支出構成パネル・閾値・自治体類型,5,5,3,5,5,3,26,有力予備,市町村予算と人口移動は既出
